Species,Mass,Prosoma Width,Source Colony,Experimental Colony,Weeks since social disturbance,Mixed/Control,Individual ID,Boldness 1,Boldness 2,Boldness 3,Boldness 4,Boldness 5,Prey Stimulus Attack 1,Prey Stimulus Attack 2,Prey Stimulus Attack 3,Prey Stimulus Attack 4,Prey Stimulus Attack 5
S. mimosarum,0.1641,2.432,30,30_1_control,1,Control,315,434.66,416,400.1,312.9,399.48,0,0,0,0,0
S. mimosarum,0.0722,2.774,30,30_1_control,1,Control,316,600,399,600,600,600,0,0,0,0,0
S. mimosarum,0.066,2.8,30,30_1_control,1,Control,317,600,600,468,600,600,0,0,0,0,0
S. mimosarum,0.0993,2.866,30,30_1_control,1,Control,318,111,139,93,164.34,174.64,1,0,0,0,0
S. mimosarum,0.0532,2.485,30,30_2,2,Mixed,319,600,600,600,600,600,0,0,0,1,0
S. mimosarum,0.1443,2.272,30,30_2,2,Mixed,320,66.51,600,201.13,600,600,1,1,1,1,1
S. mimosarum,0.068,2.763,30,30_2,2,Mixed,321,559.29,600,264.13,498.77,468,0,1,1,0,0
S. mimosarum,0.0606,2.234,30,30_2,2,Mixed,322,600,600,159.64,600,2.31,1,1,0,0,0
S. mimosarum,0.0968,2.774,30,30_2,2,Mixed,323,405.32,600,600,600,600,0,0,1,0,0
S. mimosarum,0.1687,2.461,30,30_2_control,2,Control,324,114.15,479,303,267.28,299.84,0,1,0,0,0
S. mimosarum,0.0781,2.408,30,30_2_control,2,Control,325,85,180,104,228.1,151.34,0,0,0,0,0
S. mimosarum,0.1101,2.698,30,30_2_control,2,Control,326,600,595,600,600,600,0,0,0,1,0
S. mimosarum,0.0689,2.636,30,30_2_control,2,Control,327,412.31,600,491,454.62,541.34,0,0,0,0,0
S. mimosarum,0.0678,2.511,30,30_2_control,2,Control,328,157.49,427,242.64,310.48,454.81,0,1,0,0,0
S. mimosarum,0.0917,2.763,30,30_2_control,2,Control,329,600,600,600,600,600,0,0,0,0,0
S. mimosarum,0.0642,2.467,30,30_3,3,Mixed,330,464.6,124.13,15.62,49.64,1.23,0,0,0,0,0
S. mimosarum,0.131,2.925,30,30_3,3,Mixed,331,64.15,34.82,244.51,167.94,600,0,0,0,0,0
S. mimosarum,0.1326,3.177,30,30_3,3,Mixed,332,264.13,498.77,468,600,600,0,0,0,0,0
S. mimosarum,0.1185,3.373,30,30_3,3,Mixed,333,286.59,178.28,301.5,299.47,580.59,1,0,0,0,0
S. mimosarum,0.134,2.549,30,30_3,3,Mixed,334,382,447,243.84,487.26,600,0,0,0,0,0
S. mimosarum,0.0975,2.889,30,30_3,3,Mixed,335,600,600,600,600,600,1,1,1,0,0
S. mimosarum,0.0541,2.349,30,30_3_control,3,Control,336,199.84,165,2.31,19.45,600,0,0,1,1,1
S. mimosarum,0.0629,2.546,30,30_3_control,3,Control,337,402.25,461,355,285.25,4.24,0,0,0,0,0
S. mimosarum,0.0565,2.883,30,30_3_control,3,Control,338,578.71,600,600,550.72,600,0,0,0,0,0
S. mimosarum,0.063,2.99,30,30_3_control,3,Control,339,205.7,138.65,280.19,294,199.64,1,0,0,0,0
S. mimosarum,0.0897,2.937,30,30_4,4,Mixed,340,600,600,600,600,600,0,0,0,1,1
S. mimosarum,0.152,2.631,30,30_4,4,Mixed,341,208.34,242.61,204.62,488.95,326.45,0,0,0,0,1
S. mimosarum,0.106,3.149,30,30_4,4,Mixed,342,412.65,600,600,600,545.31,0,0,0,0,0
S. mimosarum,0.0539,2.468,30,30_4,4,Mixed,343,98.47,323.52,184.56,43.51,154.65,1,0,0,0,0
S. mimosarum,0.0616,2.159,30,30_4,4,Mixed,344,600,182.08,264.57,45.67,600,0,0,0,0,1
S. mimosarum,0.066,2.487,30,30_4,4,Mixed,345,15.67,1.23,99.64,108.75,88.45,1,0,1,1,1
S. mimosarum,0.1519,2.337,30,30_4_control,4,Control,346,600,471.84,600,600,600,0,0,0,0,0
S. mimosarum,0.0722,2.67,30,30_4_control,4,Control,347,62.1,4.24,30.12,442.78,66.48,1,0,0,1,0
S. mimosarum,0.1258,2.707,30,30_4_control,4,Control,348,37,6.87,9.48,436.66,19.84,1,1,0,1,0
S. mimosarum,0.0698,2.131,30,30_4_control,4,Control,349,169.82,182.31,264.84,313.81,114.67,0,0,0,1,0
S. mimosarum,0.0611,2.552,30,30_4_control,4,Control,350,418.75,420.87,400.67,505.94,597.64,1,0,0,0,0
